[27Oct2025 21:26:28.056] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[27Oct2025 21:26:28.060] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.16 by Ubuntu; OS Linux arch amd64 version 6.8.0-1030-azure
[27Oct2025 21:26:30.950] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[27Oct2025 21:26:31.005] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Server.onepiece01/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[27Oct2025 21:26:31.046] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[27Oct2025 21:26:31.047] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/Server.onepiece01/servidor_minecraft
[27Oct2025 21:26:31.048] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/Server.onepiece01/servidor_minecraft/mods
[27Oct2025 21:26:31.048] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[27Oct2025 21:26:31.050] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/Server.onepiece01/servidor_minecraft/config/mods_optimizer/config.toml
[27Oct2025 21:26:31.092] [main/INFO] [Mods Optimizer/]: [Mods Database Updater] ⏳ Local mods-database.json is still fresh (last update: 2025-10-27T18:37:09.942730447Z).
[27Oct2025 21:26:31.099] [main/INFO] [Mods Optimizer/]: Mods Optimizer Mods Database Config File loaded with 346 mods client: 306, server: 18, default: 22.
[27Oct2025 21:26:31.100] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/Server.onepiece01/servidor_minecraft and mods dir /workspaces/Server.onepiece01/servidor_minecraft/mods for target SERVER in 51 ms.
[27Oct2025 21:26:31.102] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[27Oct2025 21:26:31.103] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~116 mods in /workspaces/Server.onepiece01/servidor_minecraft/mods with file extension .jar ...
[27Oct2025 21:26:31.137] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_spawn from BOTH to SERVER
[27Oct2025 21:26:31.159] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_core from BOTH to SERVER
[27Oct2025 21:26:31.181] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_player from BOTH to SERVER
[27Oct2025 21:26:31.191] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to BOTH
[27Oct2025 21:26:31.217] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/Server.onepiece01/servidor_minecraft/mods/stellarity-lite-1.20.1.jar, which is expected in some cases.
[27Oct2025 21:26:31.221] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks from BOTH to SERVER
[27Oct2025 21:26:31.273] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_items from BOTH to SERVER
[27Oct2025 21:26:31.278] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[0] section of the mods.toml file /workspaces/Server.onepiece01/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.6.jar!
[27Oct2025 21:26:31.295] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_gamerules from BOTH to SERVER
[27Oct2025 21:26:31.344] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.travelerstitles[0] section of the mods.toml file /workspaces/Server.onepiece01/servidor_minecraft/mods/TravelersTitles-1.20-Forge-4.0.2.jar!
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 112 mods.
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 8 server mods in 112 mods.
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 102 default mods in 112 mods.
[27Oct2025 21:26:31.350] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[27Oct2025 21:26:31.354] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[27Oct2025 21:26:31.413] [main/INFO] [Mods Optimizer/]: | celestial_artifacts                | 1.5.3                  | FORGE    | BOTH              | 2025-02-26 20:53:25 |
[27Oct2025 21:26:31.414] [main/INFO] [Mods Optimizer/]: | corpse                             | 1.20.1-1.0.21          | FORGE    | BOTH              | 2025-06-07 09:02:07 |
[27Oct2025 21:26:31.414] [main/INFO] [Mods Optimizer/]: | farmersdelight                     | 1.20.1-1.2.8           | FORGE    | BOTH              | 2025-05-29 22:48:26 |
[27Oct2025 21:26:31.415] [main/INFO] [Mods Optimizer/]: | morevillagers                      | 5.0.0                  | FORGE    | BOTH              | 2025-10-25 16:24:54 |
[27Oct2025 21:26:31.416] [main/INFO] [Mods Optimizer/]: | irons_spells_js                    | 3.1.1                  | FORGE    | BOTH              | 2024-09-17 14:20:15 |
[27Oct2025 21:26:31.416] [main/INFO] [Mods Optimizer/]: | mobcollisionoff                    | 2.0.0                  | FORGE    | UNKNOWN           | 2025-10-16 19:17:23 |
[27Oct2025 21:26:31.417] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 19.0.0-96              | FORGE    | BOTH              | 2025-03-29 17:56:37 |
[27Oct2025 21:26:31.418] [main/INFO] [Mods Optimizer/]: | celestial_core                     | 1.5.5                  | FORGE    | BOTH              | 2025-05-25 11:00:28 |
[27Oct2025 21:26:31.418] [main/INFO] [Mods Optimizer/]: | ironfurnaces                       | 4.1.6                  | FORGE    | BOTH              | 2024-03-05 12:21:46 |
[27Oct2025 21:26:31.419] [main/INFO] [Mods Optimizer/]: | sleep_tight                        | 1.4.2                  | FORGE    | BOTH              | 2025-10-25 16:26:13 |
[27Oct2025 21:26:31.419] [main/INFO] [Mods Optimizer/]: | resourcefulconfig                  | 2.1.3                  | FORGE    | BOTH              | 2025-10-25 16:51:10 |
[27Oct2025 21:26:31.420] [main/INFO] [Mods Optimizer/]: | servercore                         | 1.5.2+1.20.1           | FORGE    | BOTH              | 2025-10-25 16:50:38 |
[27Oct2025 21:26:31.421] [main/INFO] [Mods Optimizer/]: | lionfishapi                        | 2.4.0                  | FORGE    | BOTH              | 2024-11-17 22:13:16 |
[27Oct2025 21:26:31.422] [main/INFO] [Mods Optimizer/]: | wthit                              | 8.16.3                 | FORGE    | BOTH              | 2025-06-04 11:24:26 |
[27Oct2025 21:26:31.423] [main/INFO] [Mods Optimizer/]: | cataclysm                          | 3.3.0                  | FORGE    | BOTH              | 2025-06-22 15:23:35 |
[27Oct2025 21:26:31.424] [main/INFO] [Mods Optimizer/]: | curios                             | 5.14.1+1.20.1          | FORGE    | BOTH              | 2025-04-13 06:09:21 |
[27Oct2025 21:26:31.425] [main/INFO] [Mods Optimizer/]: | cerbons_api                        | 1.1.0                  | FORGE    | BOTH              | 2025-10-25 16:18:45 |
[27Oct2025 21:26:31.426] [main/INFO] [Mods Optimizer/]: | attributeslib                      | 1.3.7                  | FORGE    | BOTH              | 2024-08-15 23:08:23 |
[27Oct2025 21:26:31.427] [main/INFO] [Mods Optimizer/]: | bettervillage                      | 3.3.1                  | FORGE    | BOTH              | 2025-05-25 06:05:44 |
[27Oct2025 21:26:31.428] [main/INFO] [Mods Optimizer/]: | lostcities                         | 7.4.0                  | FORGE    | BOTH              | 2025-06-21 06:53:49 |
[27Oct2025 21:26:31.428] [main/INFO] [Mods Optimizer/]: | elevatorid                         | 1.20.1-lex-1.9         | FORGE    | BOTH              | 2023-11-03 15:02:00 |
[27Oct2025 21:26:31.429] [main/INFO] [Mods Optimizer/]: | noisium                            | 2.3.0+mc1.20-1.20.1    | FORGE    | BOTH              | 2025-10-25 16:49:54 |
[27Oct2025 21:26:31.430] [main/INFO] [Mods Optimizer/]: | resourcefullib                     | 2.1.29                 | FORGE    | BOTH              | 2025-10-25 16:25:19 |
[27Oct2025 21:26:31.430] [main/INFO] [Mods Optimizer/]: | architectury                       | 9.2.14                 | FORGE    | BOTH              | 2025-10-25 16:51:15 |
[27Oct2025 21:26:31.433] [main/INFO] [Mods Optimizer/]: | cfm                                | 7.0.0-pre36            | FORGE    | BOTH              | 2023-06-22 15:38:34 |
[27Oct2025 21:26:31.436] [main/INFO] [Mods Optimizer/]: | aiimprovements                     | 0.5.2                  | FORGE    | BOTH              | 2025-10-25 16:49:37 |
[27Oct2025 21:26:31.437] [main/INFO] [Mods Optimizer/]: | dimthread                          | 1.2.1                  | FORGE    | BOTH              | 2024-11-25 20:39:11 |
[27Oct2025 21:26:31.437] [main/INFO] [Mods Optimizer/]: | itemphysic                         | 1.8.7                  | MIXED    | BOTH              | 2025-04-22 09:49:59 |
[27Oct2025 21:26:31.438] [main/INFO] [Mods Optimizer/]: | fallingtree                        | 4.3.4                  | MIXED    | BOTH              | 2024-01-05 20:28:28 |
[27Oct2025 21:26:31.439] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_items  | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:04 |
[27Oct2025 21:26:31.440] [main/INFO] [Mods Optimizer/]: | smallships                         | 2.0.0-b1.4             | FORGE    | BOTH              | 2025-10-25 16:26:17 |
[27Oct2025 21:26:31.441] [main/INFO] [Mods Optimizer/]: | mobtimizations                     | 1.20.1-1.0.0           | FORGE    | BOTH              | 2024-02-25 17:32:35 |
[27Oct2025 21:26:31.443] [main/INFO] [Mods Optimizer/]: | letmedespawn                       | 1.5.0                  | FORGE    | SERVER            | 2025-10-25 16:49:47 |
[27Oct2025 21:26:31.444] [main/INFO] [Mods Optimizer/]: | playerrevive                       | 2.0.31                 | FORGE    | BOTH              | 2025-01-03 13:43:25 |
[27Oct2025 21:26:31.445] [main/INFO] [Mods Optimizer/]: | crafting_on_a_stick                | 1.1.5                  | FORGE    | BOTH              | 2024-06-15 00:18:50 |
[27Oct2025 21:26:31.448] [main/INFO] [Mods Optimizer/]: | radium                             | 0.12.4+git.26c9d8e     | FORGE    | UNKNOWN           | 2025-10-25 16:50:11 |
[27Oct2025 21:26:31.448] [main/INFO] [Mods Optimizer/]: | mowziesmobs                        | 1.7.3                  | FORGE    | BOTH              | 2025-05-27 21:42:55 |
[27Oct2025 21:26:31.448] [main/INFO] [Mods Optimizer/]: | rhino                              | 2001.2.3-build.10      | FORGE    | UNKNOWN           | 2025-02-12 21:26:35 |
[27Oct2025 21:26:31.449] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_spawn  | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:05 |
[27Oct2025 21:26:31.450] [main/INFO] [Mods Optimizer/]: | trashslot                          | 15.1.2                 | FORGE    | BOTH              | 2025-03-18 14:59:11 |
[27Oct2025 21:26:31.451] [main/INFO] [Mods Optimizer/]: | octolib                            | 5.0.1                  | FORGE    | BOTH              | 2025-10-25 16:49:57 |
[27Oct2025 21:26:31.451] [main/INFO] [Mods Optimizer/]: | jei                                | 15.20.0-112            | FORGE    | BOTH              | 2025-10-25 16:24:42 |
[27Oct2025 21:26:31.452] [main/INFO] [Mods Optimizer/]: | attributefix                       | 21.0.4                 | FORGE    | BOTH              | 2023-11-29 11:27:15 |
[27Oct2025 21:26:31.453] [main/INFO] [Mods Optimizer/]: | libraryferret                      | 4.0.0                  | FORGE    | BOTH              | 2023-06-21 18:22:37 |
[27Oct2025 21:26:31.453] [main/INFO] [Mods Optimizer/]: | caelus                             | 3.2.0+1.20.1           | FORGE    | BOTH              | 2024-04-22 00:58:26 |
[27Oct2025 21:26:31.455] [main/INFO] [Mods Optimizer/]: | traderefresh                       | 2.4.5                  | FORGE    | BOTH              | 2024-06-21 11:48:09 |
[27Oct2025 21:26:31.456] [main/INFO] [Mods Optimizer/]: | create                             | 6.0.6                  | FORGE    | BOTH              | 2025-06-11 21:36:58 |
[27Oct2025 21:26:31.457] [main/INFO] [Mods Optimizer/]: | waystones                          | 14.1.13                | FORGE    | BOTH              | 2025-05-21 10:58:18 |
[27Oct2025 21:26:31.457] [main/INFO] [Mods Optimizer/]: | alternate_current                  | 1.7.0                  | FORGE    | BOTH              | 2023-08-25 16:47:37 |
[27Oct2025 21:26:31.458] [main/INFO] [Mods Optimizer/]: | artifacts                          | 9.5.16                 | FORGE    | BOTH              | 2025-10-25 16:19:33 |
[27Oct2025 21:26:31.458] [main/INFO] [Mods Optimizer/]: | sereneseasons                      | 9.1.0-2                | FORGE    | BOTH              | 2025-04-08 06:27:00 |
[27Oct2025 21:26:31.459] [main/INFO] [Mods Optimizer/]: | badpackets                         | 0.4.3                  | FORGE    | BOTH              | 2025-10-25 16:18:34 |
[27Oct2025 21:26:31.459] [main/INFO] [Mods Optimizer/]: | glitchcore                         | 0.0.0                  | FORGE    | BOTH              | 2024-10-06 09:39:40 |
[27Oct2025 21:26:31.460] [main/INFO] [Mods Optimizer/]: | mods_optimizer                     | 4.1.0                  | FORGE    | BOTH              | 2025-05-11 14:04:19 |
[27Oct2025 21:26:31.460] [main/INFO] [Mods Optimizer/]: | iceandfire                         | 2.1.13-1.20.1          | FORGE    | BOTH              | 2024-08-15 16:28:35 |
[27Oct2025 21:26:31.461] [main/INFO] [Mods Optimizer/]: | bosses_of_mass_destruction         | 1.1.2                  | FORGE    | BOTH              | 2024-01-29 15:05:50 |
[27Oct2025 21:26:31.461] [main/INFO] [Mods Optimizer/]: | walljump                           | 1.20.1-1.3.5-forge     | FORGE    | BOTH              | 2025-05-27 10:09:36 |
[27Oct2025 21:26:31.461] [main/INFO] [Mods Optimizer/]: | corpsecurioscompat                 | 3.0.2                  | FORGE    | UNKNOWN           | 2025-06-05 10:39:38 |
[27Oct2025 21:26:31.462] [main/INFO] [Mods Optimizer/]: | txnilib                            | 1.0.24                 | FORGE    | UNKNOWN           | 2025-10-25 16:51:07 |
[27Oct2025 21:26:31.462] [main/INFO] [Mods Optimizer/]: | vampiresdelight                    | 0.0.0                  | FORGE    | BOTH              | 2025-02-23 21:01:20 |
[27Oct2025 21:26:31.463] [main/INFO] [Mods Optimizer/]: | nfm                                | 2025.2.7               | FORGE    | BOTH              | 2025-02-07 18:16:29 |
[27Oct2025 21:26:31.464] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_player | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:05 |
[27Oct2025 21:26:31.464] [main/INFO] [Mods Optimizer/]: | travelerstitles                    | 1.204.0-2              | FORGE    | UNKNOWN           | 2024-01-28 15:29:52 |
[27Oct2025 21:26:31.465] [main/INFO] [Mods Optimizer/]: | alexscaves                         | 2.0.2                  | FORGE    | BOTH              | 2024-10-26 10:13:03 |
[27Oct2025 21:26:31.465] [main/INFO] [Mods Optimizer/]: | terrablender                       | 3.0.1-10               | FORGE    | BOTH              | 2025-03-10 23:40:02 |
[27Oct2025 21:26:31.466] [main/INFO] [Mods Optimizer/]: | moonlight                          | 2.16.15                | FORGE    | BOTH              | 2025-10-25 16:49:37 |
[27Oct2025 21:26:31.466] [main/INFO] [Mods Optimizer/]: | creativecore                       | 2.12.32                | FORGE    | BOTH              | 2025-04-04 14:48:42 |
[27Oct2025 21:26:31.467] [main/INFO] [Mods Optimizer/]: | unusualprehistory                  | 1.5.0-3                | FORGE    | BOTH              | 2023-11-20 09:02:31 |
[27Oct2025 21:26:31.467] [main/INFO] [Mods Optimizer/]: | werewolves                         | 2.0.2-6                | FORGE    | BOTH              | 2025-05-17 10:30:17 |
[27Oct2025 21:26:31.468] [main/INFO] [Mods Optimizer/]: | vc_gliders                         | 1.1.7                  | FORGE    | BOTH              | 2025-10-25 16:23:59 |
[27Oct2025 21:26:31.468] [main/INFO] [Mods Optimizer/]: | fastpaintings                      | 1.2.7                  | FORGE    | BOTH              | 2025-10-25 16:49:47 |
[27Oct2025 21:26:31.469] [main/INFO] [Mods Optimizer/]: | pickaxetrims                       | 1.0.1                  | FORGE    | BOTH              | 2024-10-28 20:26:08 |
[27Oct2025 21:26:31.470] [main/INFO] [Mods Optimizer/]: | traveloptics                       | 5.4.2-1.20.1           | FORGE    | BOTH              | 2025-08-02 00:27:59 |
[27Oct2025 21:26:31.470] [main/INFO] [Mods Optimizer/]: | xaerominimap                       | 25.2.6                 | FORGE    | BOTH              | 2025-05-09 12:51:35 |
[27Oct2025 21:26:31.471] [main/INFO] [Mods Optimizer/]: | securitycraft                      | 1.10.0-1               | FORGE    | BOTH              | 2025-10-25 16:28:49 |
[27Oct2025 21:26:31.471] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks        | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:50:19 |
[27Oct2025 21:26:31.471] [main/INFO] [Mods Optimizer/]: | legendary_monsters                 | 1.20.1                 | FORGE    | BOTH              | 2025-06-14 10:36:55 |
[27Oct2025 21:26:31.472] [main/INFO] [Mods Optimizer/]: | irons_spellbooks                   | 1.20.1-3.4.0.9         | FORGE    | BOTH              | 2025-05-02 13:33:40 |
[27Oct2025 21:26:31.472] [main/INFO] [Mods Optimizer/]: | multitools                         | 2.0.0                  | FORGE    | BOTH              | 2025-10-25 16:25:18 |
[27Oct2025 21:26:31.473] [main/INFO] [Mods Optimizer/]: | coroutil                           | 1.20.1-1.3.7           | FORGE    | BOTH              | 2024-02-10 13:39:18 |
[27Oct2025 21:26:31.473] [main/INFO] [Mods Optimizer/]: | vampirism                          | 1.10.13                | FORGE    | BOTH              | 2025-03-10 19:17:27 |
